X,Y,TimeStamp(tracker),MilliSecTimer(system),ArrangedTime
2194.335085,1039.799414,61474666.28,414832.5546,28520.5546
2196.430269,1044.408613,61474696.62,414862.8208,28550.8208
2201.086901,1033.087421,61474726.97,414893.1529,28581.1529
2191.081187,1028.373842,61474756.98,414923.1946,28611.1946
2130.436479,1011.897425,61474787.43,414953.7837,28641.7837
2047.621998,1017.14542,61474818.16,414985.1238,28673.1238
1979.580891,1018.637265,61474847.81,415013.8751,28701.8751
1991.629151,1042.245236,61474877.77,415043.5,28731.5
1989.149926,1038.902428,61474908.01,415073.8482,28761.8482
2004.439985,1069.013208,61474938.36,415104.5724,28792.5724
2000.769714,1055.972897,61474968.42,415135.6471,28823.6471
1992.406502,1058.756098,61474998.51,415164.4172,28852.4172
1985.821749,1059.718501,61475028.88,415194.8052,28882.8052
1997.745672,1054.873601,61475058.82,415224.7784,28912.7784
1996.871025,1055.655464,61475089.3,415255.2433,28943.2433
2208.4613,1031.596523,61475119.1,415285.3012,28973.3012
2235.685015,1048.308203,61475150,415317.6595,29005.6595
2234.012211,1064.104772,61475179.83,415346.3557,29034.3557
2213.922432,1040.127019,61475210.09,415378.1245,29066.1245
2215.840261,1052.720821,61475240.23,415406.4382,29094.4382
2211.700416,1061.364954,61475270.48,415437.6969,29125.6969
2210.666992,1053.060016,61475300.72,415467.6256,29155.6256
2208.977237,1059.679526,61475330.4,415496.2809,29184.2809
2206.108719,1055.575573,61475361.11,415527.2626,29215.2626
2207.976632,1045.052885,61475391.62,415558.5517,29246.5517
2201.755853,1054.76436,61475421.37,415587.4229,29275.4229
2142.456129,1037.739259,61475451.64,415618.8522,29306.8522
1896.868597,1120.126849,61475481.85,415647.6651,29335.6651
1901.279948,1093.754595,61475512.11,415678.1974,29366.1974
1915.427163,1072.167903,61475541.97,415707.6607,29395.6607
1938.823244,1044.303736,61475572.27,415738.2459,29426.2459
1935.337571,1041.214311,61475602.58,415769.4943,29457.4943
1938.039878,1052.938711,61475632.76,415798.8681,29486.8681
1937.156724,1046.91369,61475663.18,415830.1636,29518.1636
1943.450195,1046.135431,61475693.38,415860.4957,29548.4957
1949.058666,1047.207482,61475723.48,415890.3206,29578.3206
1944.49658,1050.302405,61475753.62,415919.5245,29607.5245
1944.753537,1052.507436,61475783.69,415949.7951,29637.7951
1948.376613,1057.077085,61475814.15,415980.1022,29668.1022
1933.857704,1034.31205,61475844.15,416010.8209,29698.8209
1929.170345,1030.443657,61475874.48,416040.2603,29728.2603
1933.213696,1033.341195,61475904.65,416070.4432,29758.4432
1932.787604,1039.283038,61475935.22,416101.4413,29789.4413
1935.063172,1039.947782,61475965.04,416130.9289,29818.9289
1941.439782,1045.551316,61475995.4,416161.329,29849.329
1935.845708,1045.940567,61476025.63,416191.888,29879.888
1926.569271,1037.158141,61476055.66,416223.0825,29911.0825
1929.78416,1031.719694,61476085.82,416251.7012,29939.7012
1928.8732,1033.603265,61476116.15,416282.0058,29970.0058
1931.437026,1041.283568,61476146.45,416313.5497,30001.5497
1931.31295,1060.111725,61476176.63,416342.5211,30030.5211
1938.927614,1061.721182,61476206.82,416373.0073,30061.0073
1959.92728,1075.476961,61476237.09,416403.2988,30091.2988
2016.320619,1091.696505,61476267.26,416433.6052,30121.6052
2050.187167,1091.149752,61476297.39,416463.7099,30151.7099
2145.787988,1093.935139,61476327.99,416495.7333,30183.7333
2147.702485,1098.678291,61476357.9,416524.9782,30212.9782
2147.697482,1089.190796,61476388.07,416553.8293,30241.8293
2148.022231,1090.79222,61476417.81,416583.7362,30271.7362
2147.110573,1094.12195,61476448.5,416614.3712,30302.3712
2141.607516,1088.270661,61476479.12,416645.1019,30333.1019
2145.211075,1090.255694,61476508.88,416675.0543,30363.0543
2146.562885,1094.752351,61476538.99,416705.2779,30393.2779
2152.912992,1101.525548,61476569.55,416735.3036,30423.3036
2102.238042,1243.312589,61476599.63,416767.9525,30455.9525
2091.831929,1269.432806,61476629.65,416798.6335,30486.6335
2084.858777,1256.967987,61476659.75,416825.754,30513.754
2084.64665,1257.930614,61476690.24,416856.6652,30544.6652
2101.191776,1279.358066,61476720.43,416886.6433,30574.6433
2105.407155,1281.250917,61476750.67,416917.0946,30605.0946
2109.881875,1272.992845,61476780.76,416947.0384,30635.0384
2109.581059,1273.874062,61476811.31,416977.5714,30665.5714
2108.300041,1285.030514,61476841.38,417007.7858,30695.7858
2114.382872,1282.806781,61476871.53,417037.575,30725.575
2116.084923,1292.57705,61476901.48,417067.7809,30755.7809
2111.086357,1294.020446,61476931.92,417097.8646,30785.8646
2111.618722,1307.437447,61476961.87,417127.8869,30815.8869
2108.74996,1366.852302,61476992.27,417158.2346,30846.2346
2110.390172,1372.325412,61477022.3,417188.029,30876.029
2114.186406,1366.689082,61477052.57,417218.9842,30906.9842
2109.994725,1367.929456,61477082.77,417249.022,30937.022
2101.740573,1360.166987,61477112.9,417278.6856,30966.6856
2099.256109,1359.425308,61477143.6,417311.7578,30999.7578
2103.354242,1366.853268,61477173.22,417339.4226,31027.4226
2105.879674,1385.754986,61477203.67,417370.8978,31058.8978
2103.397812,1382.986943,61477233.89,417399.812,31087.812
2093.377684,1390.261237,61477264.14,417430.7986,31118.7986
2103.056118,1385.797652,61477294.21,417460.542,31148.542
2094.068977,1382.800344,61477324.61,417491.6366,31179.6366
2095.723349,1363.719219,61477354.84,417521.6475,31209.6475
2096.253167,1355.464257,61477384.89,417550.7117,31238.7117
2105.135051,1347.285841,61477415.1,417580.9231,31268.9231
2104.413495,1346.635124,61477445.48,417611.3512,31299.3512
2099.9861,1351.85427,61477475.47,417641.1221,31329.1221
2099.518592,1359.799427,61477505.89,417671.7414,31359.7414
