X, Y,startTime
369.2442604,756.9568359,4746.6902
366.4226531,753.8243697,4777.2846
349.534343,730.2199645,4806.9758
352.844799,727.4310445,4837.4395
356.2012034,725.9850056,4869.1903
359.3332494,750.1052663,4897.1892
367.679817,757.2094795,4927.839
363.5187763,751.0917127,4959.2538
241.6365754,938.3896282,5136.7853
-23.23743968,1230.060616,5169.5515
180.627272,990.351146,5200.1184
58.50760824,1117.810882,5229.9232
388.2902482,633.4949605,5260.3995
385.1761967,610.5315185,5291.2622
390.9252664,615.0785762,5320.3715
391.5965024,598.422544,5350.8006
405.9893803,593.1743206,5380.8729
400.7058596,577.3742143,5411.6305
399.9922764,578.9946538,5441.391
399.7524429,583.8457843,5471.5775
395.1154283,590.5407683,5501.3622
390.9528853,581.3984729,5532.5585
378.5502638,575.5917674,5562.2051
358.4777749,559.803789,5591.9943
367.6176521,561.9589601,5622.7923
337.7094507,561.6826216,5653.6348
194.3828472,583.0048447,5683.2029
178.8137223,571.0183941,5712.7327
156.3271881,543.6373596,5743.5127
157.1178111,553.2837535,5774.21
157.2229709,540.9431898,5803.8272
161.0137586,544.5358254,5834.2867
154.1497045,543.7593476,5864.6505
160.2648083,553.879322,5894.7446
198.1451303,566.8021392,5924.4333
396.3150541,562.5109818,5955.7237
425.9041246,568.0727375,5984.6656
420.9892697,583.4238813,6017.9151
424.2722501,589.2526634,6045.5827
419.5466993,594.5508625,6075.5509
419.2306138,593.4241577,6104.4411
1955.105846,1037.908166,6166.6813
1970.623533,995.934349,6197.066
1979.013149,992.5138187,6227.7971
1971.136795,1006.17448,6257.178
1961.153519,1012.386005,6287.3091
1967.930146,1009.939922,6318.3139
2016.433865,1012.656676,6347.7702
2114.562233,1086.783763,6377.8394
2157.365592,1115.299927,6408.9499
2159.915892,1120.772872,6438.006
2149.976522,1120.956367,6470.7189
2147.986372,1124.836974,6500.1737
2145.917313,1121.511231,6529.111
2154.710376,1129.54287,6559.5146
2153.367409,1132.998099,6591.1222
