timestamp, action_unit_list, facial_expression
4.872,"[6, 7, 10, 12, 14, 25]",Happy
4.905,"[6, 7, 10, 12, 14, 25]",Happy
4.938,"[6, 7, 10, 12, 14, 25]",Happy
4.972,"[6, 7, 10, 12, 14, 25]",Happy
5.005,"[6, 7, 10, 12, 14, 25]",Happy
5.038,"[6, 7, 10, 12, 14, 25]",Happy
5.072,"[6, 7, 10, 12, 14, 25]",Happy
5.105,"[6, 7, 10, 12, 14, 25]",Happy
5.138,"[6, 7, 10, 12, 14, 25]",Happy
5.172,"[6, 7, 10, 12, 14, 25]",Happy
5.205,"[6, 7, 10, 12, 14, 25]",Happy
5.239,"[6, 7, 10, 12, 14, 25]",Happy
5.272,"[6, 7, 10, 12, 14, 25]",Happy
5.305,"[6, 7, 10, 12, 14, 25]",Happy
5.339,"[6, 7, 10, 12, 14, 25]",Happy
5.372,"[6, 7, 10, 12, 14, 25]",Happy
5.405,"[6, 7, 10, 12, 14, 25]",Happy
5.439,"[6, 7, 10, 12, 14, 25]",Happy
5.472,"[6, 7, 10, 12, 14, 25]",Happy
5.506,"[6, 7, 10, 12, 14, 25]",Happy
5.539,"[6, 7, 10, 12, 14, 25]",Happy
5.572,"[6, 7, 10, 12, 14, 25]",Happy
5.606,"[6, 7, 10, 12, 14, 25]",Happy
5.639,"[6, 7, 10, 12, 14, 25]",Happy
5.672,"[6, 7, 10, 12, 14, 25]",Happy
5.706,"[6, 7, 10, 12, 14, 25]",Happy
5.739,"[6, 7, 10, 12, 14, 25]",Happy
5.772,"[6, 7, 10, 12, 14, 25]",Happy
5.806,"[6, 7, 10, 12, 14, 25]",Happy
5.839,"[6, 7, 10, 12, 14, 25]",Happy
5.873,"[6, 7, 10, 12, 14, 25]",Happy
5.906,"[6, 7, 10, 12, 14, 25]",Happy
5.939,"[6, 7, 10, 12, 14, 25]",Happy
5.973,"[6, 7, 10, 12, 14, 25]",Happy
6.006,"[6, 7, 10, 12, 14, 25]",Happy
6.039,"[6, 7, 10, 12, 14, 25]",Happy
