timestamp, action_unit_list, facial_expression
9.676,"[5, 6, 7, 10, 12, 25, 26]",Happy
9.71,"[5, 6, 7, 10, 12, 25, 26]",Happy
9.743,"[5, 6, 7, 10, 12, 25, 26]",Happy
9.776,"[5, 6, 7, 10, 12, 25, 26]",Happy
9.81,"[5, 6, 7, 10, 12, 25, 26]",Happy
9.843,"[5, 6, 7, 10, 12, 25, 26]",Happy
9.877,"[5, 6, 10, 12, 25, 26]",Happy
9.91,"[5, 10, 12, 25, 26]",Neutral
9.943,"[5, 10, 12, 25, 26]",Neutral
9.977,"[5, 10, 12, 25, 26]",Neutral
10.01,"[5, 10, 12, 25, 26]",Neutral
10.043,"[4, 5, 10, 12, 25, 26]",Neutral
10.077,"[4, 5, 10, 12, 25, 26]",Neutral
10.11,"[4, 5, 10, 12, 25, 26]",Neutral
10.143,"[4, 5, 10, 12, 25, 26]",Neutral
10.177,"[2, 4, 5, 10, 12, 25, 26]",Neutral
10.21,"[1, 2, 4, 5, 10, 12, 25, 26]",Neutral
10.244,"[1, 2, 4, 5, 10, 12, 25, 26]",Neutral
10.277,"[1, 2, 4, 5, 10, 12, 25, 26]",Neutral
10.31,"[1, 2, 4, 5, 10, 12, 25, 26]",Neutral
10.344,"[1, 2, 4, 5, 10, 12, 25, 26]",Neutral
10.377,"[1, 2, 4, 5, 10, 12, 25, 26]",Neutral
10.41,"[1, 2, 4, 5, 10, 12, 23, 25, 26]",Neutral
10.444,"[1, 2, 4, 5, 10, 12, 23, 25, 26]",Neutral
10.477,"[1, 2, 4, 5, 10, 12, 23, 25, 26]",Neutral
10.511,"[1, 2, 4, 5, 10, 12, 23, 25, 26]",Neutral
10.544,"[1, 2, 4, 5, 10, 12, 23, 25, 26]",Neutral
10.577,"[1, 2, 4, 5, 10, 12, 25, 26]",Neutral
10.611,"[1, 2, 4, 5, 10, 12, 25, 26]",Neutral
10.644,"[1, 2, 4, 5, 10, 12, 25, 26]",Neutral
10.677,"[1, 2, 4, 5, 10, 12, 25, 26]",Neutral
10.711,"[1, 2, 4, 5, 10, 12, 25, 26]",Neutral
10.744,"[1, 2, 4, 5, 10, 12, 25, 26]",Neutral
10.777,"[1, 2, 4, 5, 7, 10, 12, 14, 25, 26]",Contempt
10.811,"[1, 2, 4, 5, 7, 10, 12, 14, 25, 26]",Contempt
10.844,"[1, 2, 4, 5, 7, 10, 12, 14, 25, 26]",Contempt
10.878,"[1, 2, 4, 5, 7, 10, 12, 14, 25, 26]",Contempt
10.911,"[1, 2, 4, 5, 7, 10, 12, 14, 25, 26]",Contempt
10.944,"[1, 2, 4, 5, 7, 10, 12, 14, 25, 26]",Contempt
10.978,"[1, 2, 4, 5, 7, 10, 12, 14, 25, 26]",Contempt
11.011,"[1, 2, 4, 5, 7, 10, 12, 14, 17, 25, 26]",Contempt
11.044,"[1, 2, 4, 5, 7, 10, 17, 25, 26]",Neutral
11.078,"[1, 2, 4, 5, 7, 10, 17, 25, 26]",Neutral
11.111,"[2, 5, 7, 10, 17, 26]",Neutral
11.144,"[5, 7, 10, 15, 17, 26]",Neutral
11.178,"[5, 10, 15, 17, 26]",Neutral
11.211,"[5, 10, 15, 17, 26]",Neutral
11.245,"[5, 7, 10, 15, 17, 26]",Neutral
11.278,"[5, 7, 10, 15, 17, 26]",Neutral
11.311,"[5, 6, 7, 10, 15, 17, 25, 26]",Neutral
11.345,"[5, 6, 7, 10, 15, 17, 25, 26]",Neutral
11.378,"[5, 6, 7, 10, 15, 17, 25, 26]",Neutral
11.411,"[5, 6, 7, 10, 15, 17, 25, 26]",Neutral
11.445,"[5, 6, 7, 10, 15, 17, 25, 26]",Neutral
11.478,"[5, 6, 7, 9, 10, 15, 17, 25, 26]",Neutral
11.512,"[5, 6, 7, 9, 10, 15, 17, 25, 26]",Neutral
11.545,"[5, 6, 7, 9, 10, 15, 17, 25, 26]",Neutral
11.578,"[5, 6, 7, 9, 10, 15, 17, 25, 26]",Neutral
11.612,"[5, 6, 7, 9, 10, 12, 14, 15, 17, 25, 26]",Happy
11.645,"[5, 6, 7, 9, 10, 12, 14, 15, 17, 25, 26]",Happy
11.678,"[5, 6, 7, 9, 10, 12, 14, 15, 17, 25, 26]",Happy
11.712,"[5, 6, 7, 9, 10, 12, 14, 15, 17, 25, 26]",Happy
11.745,"[5, 6, 7, 9, 10, 12, 14, 15, 17, 25, 26]",Happy
11.778,"[5, 6, 7, 9, 10, 12, 14, 15, 17, 25, 26]",Happy
11.812,"[5, 6, 7, 9, 10, 12, 14, 15, 17, 25, 26]",Happy
11.845,"[5, 6, 7, 9, 10, 12, 14, 15, 17, 25, 26]",Happy
11.879,"[5, 6, 7, 9, 10, 12, 14, 15, 17, 25, 26]",Happy
11.912,"[5, 6, 7, 10, 12, 14, 15, 17, 26]",Contempt
11.945,"[5, 6, 7, 10, 12, 15, 17, 26]",Neutral
11.979,"[5, 6, 7, 10, 12, 15, 17, 26]",Neutral
12.012,"[5, 6, 7, 10, 12, 17, 26]",Neutral
12.045,"[5, 7, 10, 12, 17, 26]",Neutral
12.079,"[5, 7, 10, 12, 17, 26]",Neutral
12.112,"[5, 7, 10, 12, 17, 26]",Neutral
12.145,"[5, 10, 12, 17, 26]",Neutral
12.179,"[5, 12, 17, 26]",Neutral
12.212,"[5, 12, 17]",Neutral
12.246,"[2, 5, 12, 17]",Neutral
12.279,"[1, 2, 5, 12, 17]",Neutral
12.312,"[1, 2, 5, 12, 17]",Neutral
12.346,"[1, 2, 5, 12, 17]",Neutral
12.379,"[1, 2, 5, 12, 17]",Neutral
12.412,"[1, 2, 5, 12, 17, 25]",Neutral
12.446,"[1, 2, 5, 17, 25, 26]",Neutral
12.479,"[1, 2, 5, 17, 25, 26]",Neutral
12.513,"[1, 2, 4, 5, 17, 25, 26]",Neutral
12.546,"[1, 2, 4, 5, 17, 25, 26]",Neutral
12.579,"[1, 2, 4, 5, 17, 25, 26]",Neutral
12.613,"[1, 2, 4, 5, 17, 25, 26]",Neutral
12.646,"[1, 2, 4, 5, 17, 25, 26]",Neutral
12.679,"[1, 2, 4, 5, 17, 25, 26]",Neutral
12.713,"[1, 2, 4, 5, 17, 25, 26]",Neutral
12.746,"[1, 2, 4, 5, 12, 17, 25, 26]",Neutral
12.779,"[1, 2, 4, 5, 12, 17, 25, 26]",Neutral
12.813,"[1, 2, 4, 5, 12, 17, 25, 26]",Neutral
12.846,"[1, 2, 4, 5, 12, 17, 25, 26]",Neutral
12.88,"[1, 2, 4, 5, 12, 17, 25, 26]",Neutral
12.913,"[1, 2, 4, 5, 12, 17, 25]",Neutral
12.946,"[1, 2, 4, 5, 12, 17, 25]",Neutral
12.98,"[1, 2, 4, 5, 12, 17, 25]",Neutral
13.013,"[1, 2, 4, 5, 17, 25]",Neutral
13.046,"[1, 2, 4, 5, 17, 45]",Neutral
13.08,"[1, 2, 4, 5, 17, 45]",Neutral
13.113,"[2, 4, 5, 17, 45]",Neutral
13.146,"[2, 4, 5, 17, 45]",Neutral
13.18,"[2, 4, 5, 17]",Neutral
13.213,"[2, 4, 5, 17]",Neutral
13.247,"[2, 4, 5, 17, 45]",Neutral
13.28,"[2, 4, 5, 17, 45]",Neutral
13.313,"[2, 4, 5, 17]",Neutral
13.347,"[1, 2, 4, 5, 17]",Neutral
13.38,"[1, 2, 4, 5, 17]",Neutral
13.413,"[1, 2, 4, 5, 17]",Neutral
13.447,"[1, 2, 4, 5, 17]",Neutral
13.48,"[1, 2, 4, 5, 17]",Neutral
13.514,"[1, 2, 4, 5, 17]",Neutral
13.547,"[1, 2, 4, 5, 17]",Neutral
13.58,"[1, 2, 4, 5, 17]",Neutral
13.614,"[1, 2, 4, 5, 17]",Neutral
13.647,"[1, 2, 4, 5, 17]",Neutral
13.68,"[1, 2, 4, 5, 17]",Neutral
13.714,"[1, 2, 4, 5, 17]",Neutral
13.747,"[1, 2, 4, 5, 17]",Neutral
13.78,"[1, 2, 4, 5, 17]",Neutral
13.814,"[1, 2, 4, 5, 17]",Neutral
13.847,"[1, 2, 4, 5, 17]",Neutral
13.881,"[1, 2, 4, 5, 17]",Neutral
13.914,"[1, 2, 4, 5, 17]",Neutral
13.947,"[1, 2, 4, 5, 17]",Neutral
13.981,"[1, 2, 4, 5, 17]",Neutral
14.014,"[1, 2, 4, 5, 17]",Neutral
14.047,"[1, 2, 4, 5, 17]",Neutral
14.081,"[1, 2, 4, 5, 17]",Neutral
14.114,"[1, 2, 4, 5, 17]",Neutral
14.147,"[1, 2, 4, 5, 17]",Neutral
14.181,"[1, 2, 4, 5, 7, 17]",Neutral
14.214,"[1, 2, 4, 5, 17]",Neutral
